uid,lat,lon,aqi,station_name,recorded_at,etl_insert_ts,etl_update_ts
-369427,46.672695,113.28328,25,Sukhbaatar_01,2023-08-22T05:41:55+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-369424,50.23964,106.192795,47,Selenge_01,2023-08-19T04:33:45+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-369421,49.49008,105.94039,32,Darkhan_01,2023-08-22T05:41:51+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-369397,47.47228,101.46247,6,Arkhangai,2023-08-22T05:40:42+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-369394,47.74261,96.843025,9,Zavkhan_01,2023-08-22T05:40:44+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-368266,59.926,30.404,97,Заневский проспект,2023-08-22T05:41:29+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-367828,46.0941462745,19.67140942812,91,Цапајева,2023-08-22T05:41:13+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-367663,48.509049,29.227308,53,"Street Soborna, 77",2023-08-22T05:43:13+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-367576,-29.628,-49.938,37,Avenida Marechal Mascarenhas de Moraes,2023-08-22T05:42:04+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-366673,47.58879,-59.16297,81,AQSU-CBDD,2023-08-22T05:41:39+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-365935,10.942811,108.19277,69,AQSEA_VN_035,2023-08-22T05:41:50+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-365563,43.278,68.203,16,Туркестан 3,2023-08-22T05:39:29+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-365560,52.44,71.9366,55,Аксу,2023-08-22T05:39:09+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-365551,47.91,67.5296,-,Сатпаев,2023-08-22T05:39:04+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-364924,44.686,37.628,22,улица Суворова,2023-08-19T04:35:16+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
-364750,47.61361,-57.6225,65,AQSU-CB47,2023-08-22T05:41:23+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-364726,50.36492178788,45.65599322319,21,улица Малышева,2023-08-22T05:38:04+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-364255,55.35,36.906,98,Центральная улица,2023-08-22T05:38:14+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-364135,54.9524555,73.38358005198,17,улица Ильичёва,2023-08-22T05:41:45+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-364078,56.86999354708,24.13387298584,35,Pļavu iela,2023-08-22T05:42:36+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-363844,50.06855,-95.35367,77,AQSU-FDDF,2023-08-22T05:41:32+09:00,2023-08-18 14:31:07.713169,2023-08-21 13:51:39.835344
-363835,49.55801,-97.190025,83,AQSU-643E,2023-08-22T05:41:44+09:00,2023-08-21 13:51:39.835344,2023-08-21 13:51:39.835344
-363802,49.82281,-97.06197,96,AQSU-1671,2023-08-19T04:35:17+09:00,2023-08-18 14:31:07.713169,2023-08-18 14:31:07.713169
